,track_id,genre_top,genres_all
1,000002,21,[21]
2,000003,21,[21]
3,000005,21,[21]
4,000010,10,[10]
10,000134,21,[21]
12,000136,12,"[58, 12, 45]"
15,000139,17,[17]
16,000140,17,[17]
17,000141,17,[17]
62,000190,17,[17]
65,000193,17,[17]
66,000194,17,[17]
69,000197,17,[17]
70,000198,17,[17]
72,000200,17,[17]
75,000203,17,[17]
76,000204,17,[17]
79,000207,17,[17]
80,000208,17,[17]
81,000209,17,[17]
82,000210,17,[17]
83,000211,17,[17]
84,000212,17,[17]
85,000213,10,[10]
89,000237,4,[4]
92,000247,12,[12]
94,000249,12,[12]
100,000255,12,[12]
101,000256,12,"[12, 31]"
102,000257,12,"[12, 31]"
103,000258,12,"[12, 31]"
154,000341,12,"[89, 12, 25]"
156,000343,12,"[89, 12, 25]"
165,000352,12,"[89, 12, 25]"
181,000368,12,"[89, 12, 25]"
182,000369,12,"[89, 12, 25]"
193,000397,15,[15]
194,000398,15,[15]
195,000399,15,[15]
196,000400,15,[15]
201,000405,15,[15]
208,000414,15,[15]
217,000424,38,"[1, 38]"
218,000425,38,"[1, 38]"
295,000512,12,"[27, 12]"
315,000534,17,[17]
316,000535,17,[17]
317,000536,17,[17]
318,000537,17,[17]
321,000540,17,[17]
327,000546,17,[17]
331,000550,15,[15]
351,000573,12,"[25, 12]"
352,000574,12,"[25, 12]"
366,000590,4,"[4, 37]"
367,000591,4,"[4, 37]"
368,000592,4,"[4, 37]"
369,000593,4,"[4, 37]"
374,000605,12,[12]
377,000608,12,[12]
384,000615,38,"[41, 38]"
388,000619,17,[17]
389,000620,17,[17]
390,000621,17,[17]
394,000625,17,[17]
398,000629,17,[17]
400,000631,17,[17]
401,000633,12,[12]
403,000635,12,[12]
431,000664,15,[15]
432,000665,15,[15]
433,000666,2,"[2, 79]"
434,000667,2,"[2, 79]"
435,000668,21,[21]
436,000669,21,[21]
439,000672,21,[21]
440,000673,21,[21]
441,000674,21,[21]
443,000676,21,[21]
444,000677,21,[21]
446,000679,21,[21]
447,000680,21,[21]
448,000681,21,[21]
451,000684,21,[21]
453,000686,21,[21]
461,000694,21,[21]
462,000695,21,[21]
463,000696,12,"[12, 45]"
465,000698,12,"[12, 45]"
468,000701,12,"[12, 45]"
469,000702,12,"[12, 45]"
470,000703,12,"[12, 45]"
480,000714,17,[17]
481,000715,17,[17]
482,000716,17,[17]
483,000717,17,[17]
484,000718,17,[17]
486,000720,12,[12]
539,000777,12,[12]
569,000814,17,[17]
574,000819,38,"[1, 38]"
575,000820,38,"[1, 38]"
576,000821,10,[10]
577,000822,10,[10]
578,000823,10,[10]
579,000824,12,"[58, 66, 12, 45]"
580,000825,12,"[58, 66, 12, 45]"
581,000826,12,"[58, 66, 12, 45]"
584,000829,12,"[58, 66, 12, 45]"
585,000830,12,"[58, 66, 12, 45]"
586,000831,4,"[4, 37]"
587,000832,4,"[4, 37]"
588,000833,4,"[4, 37]"
589,000834,4,"[4, 37]"
590,000835,4,"[4, 37]"
606,000853,2,[2]
608,000855,12,[12]
611,000858,12,[12]
614,000861,12,[12]
616,000863,12,[12]
