,track_id,genre_top,genres_all,split,subset
1,2,21,[21],training,small
2,3,21,[21],training,medium
3,5,21,[21],training,small
4,10,10,[10],training,small
10,134,21,[21],training,medium
12,136,12,"[58, 12, 45]",training,medium
15,139,17,[17],training,medium
16,140,17,[17],training,small
17,141,17,[17],training,small
23,148,38,"[1, 38]",validation,small
55,181,12,"[27, 12]",test,medium
56,182,12,"[27, 12]",test,small
62,190,17,[17],training,small
65,193,17,[17],training,small
66,194,17,[17],training,small
69,197,17,[17],training,small
70,198,17,[17],training,medium
72,200,17,[17],training,small
75,203,17,[17],training,small
76,204,17,[17],training,small
79,207,17,[17],training,small
80,208,17,[17],training,medium
81,209,17,[17],training,medium
82,210,17,[17],training,small
83,211,17,[17],training,small
84,212,17,[17],training,small
85,213,10,[10],training,small
89,237,4,[4],training,medium
92,247,12,[12],training,medium
94,249,12,[12],training,medium
100,255,12,[12],training,small
101,256,12,"[12, 31]",training,small
102,257,12,"[12, 31]",training,medium
103,258,12,"[12, 31]",training,medium
154,341,12,"[89, 12, 25]",training,medium
156,343,12,"[89, 12, 25]",training,medium
165,352,12,"[89, 12, 25]",training,medium
181,368,12,"[89, 12, 25]",training,small
182,369,12,"[89, 12, 25]",training,medium
193,397,15,[15],training,medium
194,398,15,[15],training,medium
195,399,15,[15],training,medium
196,400,15,[15],training,medium
201,405,15,[15],training,medium
208,414,15,[15],training,medium
217,424,38,"[1, 38]",training,small
218,425,38,"[1, 38]",training,medium
246,458,12,"[36, 12]",validation,medium
247,459,12,"[36, 12]",validation,small
295,512,12,"[27, 12]",training,medium
315,534,17,[17],training,small
316,535,17,[17],training,medium
317,536,17,[17],training,medium
318,537,17,[17],training,medium
321,540,17,[17],training,small
327,546,17,[17],training,small
331,550,15,[15],training,medium
342,564,12,[12],test,medium
351,573,12,"[25, 12]",training,medium
352,574,12,"[25, 12]",training,small
359,583,21,[21],validation,medium
360,584,21,[21],validation,medium
361,585,21,[21],validation,medium
366,590,4,"[4, 37]",training,medium
367,591,4,"[4, 37]",training,medium
368,592,4,"[4, 37]",training,medium
369,593,4,"[4, 37]",training,medium
371,602,17,[17],validation,small
372,603,17,[17],validation,medium
374,605,12,[12],training,medium
377,608,12,[12],training,medium
384,615,38,"[41, 38]",training,small
388,619,17,[17],training,medium
389,620,17,[17],training,small
390,621,17,[17],training,small
394,625,17,[17],training,small
398,629,17,[17],training,medium
400,631,17,[17],training,medium
401,633,12,[12],training,medium
403,635,12,[12],training,medium
431,664,15,[15],training,medium
432,665,15,[15],training,medium
433,666,2,"[2, 79]",training,small
434,667,2,"[2, 79]",training,small
435,668,21,[21],training,medium
436,669,21,[21],training,medium
439,672,21,[21],training,medium
440,673,21,[21],training,medium
441,674,21,[21],training,medium
443,676,21,[21],training,small
444,677,21,[21],training,medium
446,679,21,[21],training,medium
447,680,21,[21],training,medium
448,681,21,[21],training,medium
451,684,21,[21],training,medium
453,686,21,[21],training,medium
457,690,12,[12],validation,small
461,694,21,[21],training,small
462,695,21,[21],training,small
463,696,12,"[12, 45]",training,medium
465,698,12,"[12, 45]",training,medium
468,701,12,"[12, 45]",training,medium
469,702,12,"[12, 45]",training,medium
470,703,12,"[12, 45]",training,medium
471,704,2,"[2, 46]",test,small
472,705,2,"[2, 46]",test,small
473,706,2,"[2, 46]",test,small
474,707,2,"[2, 46]",test,small
475,708,2,"[2, 46]",test,small
476,709,2,"[2, 46]",test,small
480,714,17,[17],training,small
481,715,17,[17],training,small
482,716,17,[17],training,small
483,717,17,[17],training,medium
484,718,17,[17],training,small
486,720,12,[12],training,medium
497,734,14,"[11, 14]",test,medium
498,735,14,"[11, 14]",test,medium
499,736,14,"[11, 14]",test,medium
500,737,14,"[11, 14]",test,medium
501,738,14,"[11, 14]",test,medium
502,739,14,"[11, 14]",test,medium
503,740,14,"[11, 14]",test,medium
504,741,14,"[11, 14]",test,medium
505,742,14,"[11, 14]",test,medium
506,743,14,"[11, 14]",test,medium
507,744,14,"[11, 14]",test,medium
508,745,14,"[11, 14]",test,medium
509,747,14,"[11, 14]",test,medium
510,748,14,"[11, 14]",test,medium
511,749,14,"[11, 14]",test,medium
512,750,14,"[11, 14]",test,medium
513,751,14,"[11, 14]",test,medium
514,752,14,"[11, 14]",test,medium
515,753,14,"[11, 14]",test,medium
516,754,14,"[11, 14]",test,medium
517,755,14,"[11, 14]",test,medium
518,756,14,"[11, 14]",test,medium
519,757,14,"[11, 14]",test,medium
520,758,14,"[11, 14]",test,medium
521,759,14,"[11, 14]",test,medium
522,760,14,"[11, 14]",test,medium
523,761,14,"[11, 14]",test,medium
524,762,14,"[11, 14]",test,medium
525,763,14,"[11, 14]",test,medium
526,764,14,"[11, 14]",test,medium
527,765,14,"[11, 14]",test,medium
528,766,14,"[11, 14]",test,medium
529,767,14,"[11, 14]",test,medium
530,768,14,"[11, 14]",test,medium
531,769,14,"[11, 14]",test,medium
532,770,14,"[11, 14]",test,medium
533,771,14,"[11, 14]",test,medium
534,772,14,"[11, 14]",test,medium
535,773,14,"[11, 14]",test,medium
536,774,14,"[11, 14]",test,medium
537,775,14,"[11, 14]",test,medium
538,776,14,"[11, 14]",test,medium
539,777,12,[12],training,small
569,814,17,[17],training,small
574,819,38,"[1, 38]",training,medium
575,820,38,"[1, 38]",training,medium
576,821,10,[10],training,small
577,822,10,[10],training,small
578,823,10,[10],training,medium
579,824,12,"[58, 66, 12, 45]",training,medium
580,825,12,"[58, 66, 12, 45]",training,small
581,826,12,"[58, 66, 12, 45]",training,medium
584,829,12,"[58, 66, 12, 45]",training,medium
585,830,12,"[58, 66, 12, 45]",training,medium
586,831,4,"[4, 37]",training,medium
587,832,4,"[4, 37]",training,medium
588,833,4,"[4, 37]",training,medium
589,834,4,"[4, 37]",training,medium
590,835,4,"[4, 37]",training,medium
606,853,2,[2],training,small
607,854,38,"[32, 38]",test,medium
608,855,12,[12],training,medium
611,858,12,[12],training,medium
614,861,12,[12],training,medium
616,863,12,[12],training,medium
619,868,38,"[38, 47]",training,medium
629,878,15,[15],training,medium
632,881,15,[15],training,medium
639,889,15,[15],training,medium
640,890,17,"[49, 17]",test,small
641,891,17,"[49, 17]",test,medium
642,892,17,"[49, 17]",test,small
643,893,17,"[49, 17]",test,medium
644,894,17,"[49, 17]",test,medium
645,895,17,"[49, 17]",test,medium
646,896,12,"[25, 12, 111]",training,medium
647,897,38,"[32, 38]",training,small
648,898,38,"[32, 38]",training,medium
742,992,12,[12],training,medium
743,993,12,[12],validation,small
744,995,38,"[32, 38]",training,small
746,997,38,"[32, 38]",training,small
747,998,38,"[32, 38]",training,small
758,1014,12,"[12, 31]",validation,medium
759,1015,12,"[12, 31]",validation,medium
760,1016,12,"[12, 31]",validation,medium
761,1017,12,"[12, 31]",validation,medium
762,1018,12,"[12, 31]",validation,medium
766,1022,4,[4],training,medium
767,1023,4,[4],training,medium
772,1028,12,[12],training,medium
773,1029,12,[12],training,medium
783,1039,12,"[45, 12, 53]",training,small
784,1040,12,"[45, 12, 53]",training,small
785,1041,12,"[58, 12]",training,medium
786,1042,3,[3],test,medium
787,1043,3,[3],test,medium
788,1044,3,[3],test,medium
789,1045,3,[3],test,medium
790,1046,3,[3],test,medium
791,1047,3,[3],test,medium
792,1048,3,[3],test,medium
796,1052,12,[12],training,medium
797,1058,4,[4],training,medium
798,1059,4,[4],training,medium
799,1060,4,[4],training,medium
800,1061,4,[4],training,medium
802,1063,4,[4],training,medium
803,1064,4,[4],training,medium
804,1066,38,"[38, 22]",test,small
806,1068,38,"[38, 22]",test,medium
807,1069,38,"[38, 22]",test,small
809,1071,38,"[38, 22]",test,medium
810,1072,38,"[38, 22]",test,medium
811,1073,38,"[38, 22]",test,small
813,1075,38,"[38, 22]",test,small
820,1082,2,[2],training,small
821,1083,38,"[1, 38]",training,small
823,1085,15,[15],validation,medium
824,1086,15,[15],validation,medium
825,1087,12,[12],validation,small
826,1088,15,[15],validation,medium
827,1089,15,[15],validation,medium
831,1093,38,"[38, 30]",training,medium
833,1095,38,"[38, 30]",training,medium
840,1102,12,[12],training,small
841,1105,12,[12],training,medium
842,1106,12,[12],training,medium
843,1107,12,[12],training,medium
844,1108,12,[12],training,medium
849,1117,12,[12],validation,medium
850,1118,12,[12],validation,medium
853,1121,15,[15],training,medium
855,1123,12,[12],training,medium
857,1125,12,[12],training,medium
858,1126,12,[12],training,medium
862,1130,12,[12],training,medium
863,1131,12,[12],training,medium
867,1138,12,[12],validation,medium
875,1147,12,[12],training,medium
876,1148,12,[12],training,medium
877,1149,12,[12],training,medium
878,1150,12,[12],training,medium
879,1151,4,"[4, 37]",training,medium
880,1152,4,"[4, 37]",training,medium
881,1153,4,"[4, 37]",training,medium
882,1154,4,"[4, 37]",training,medium
883,1155,4,"[4, 37]",training,medium
884,1156,12,[12],training,medium
885,1157,12,[12],training,medium
889,1161,12,[12],training,medium
890,1162,12,[12],training,medium
893,1165,12,[12],training,medium
907,1179,12,[12],training,medium
911,1183,12,[12],training,medium
921,1193,17,[17],training,small
923,1195,17,[17],training,small
924,1196,17,[17],training,small
925,1197,17,[17],training,small
927,1199,17,[17],training,medium
928,1201,12,[12],training,medium
929,1202,12,[12],training,medium
930,1203,12,[12],training,medium
931,1204,12,[12],training,medium
975,1249,38,"[32, 38]",test,small
985,1259,38,"[32, 38]",test,small
996,1270,12,"[25, 12]",training,small
1002,1276,38,"[38, 22]",training,small
1003,1277,38,"[38, 22]",training,small
1004,1278,38,"[38, 22]",training,small
1005,1279,12,[12],validation,medium
1006,1280,12,[12],validation,medium
1015,1289,12,[12],validation,medium
1016,1290,12,[12],validation,medium
1018,1292,12,[12],validation,medium
1024,1298,12,[12],validation,medium
1037,1311,17,"[17, 103]",training,medium
1065,1339,15,[15],training,medium
1078,1354,12,[12],training,medium
1080,1356,12,[12],training,medium
1082,1358,12,[12],training,medium
1084,1360,12,[12],training,medium
1085,1361,12,[12],training,medium
1087,1363,12,[12],training,medium
1090,1366,12,[12],training,medium
1105,1382,12,"[64, 25, 12]",validation,medium
1106,1383,12,"[64, 25, 12]",validation,medium
1109,1413,12,[12],training,medium
1112,1416,12,[12],training,medium
1113,1417,12,[12],training,small
1114,1418,12,[12],training,medium
1115,1419,12,[12],training,medium
1123,1427,12,[12],training,small
1138,1443,38,"[38, 47]",training,small
1140,1450,12,[12],training,medium
1141,1451,12,[12],training,medium
1149,1481,15,[15],training,medium
1150,1482,15,[15],training,small
1151,1483,15,[15],training,medium
1153,1485,15,[15],training,medium
1154,1486,15,[15],training,medium
1165,1498,38,"[1, 38]",training,medium
1177,1510,38,"[32, 38]",training,small
1193,1526,12,[12],training,medium
1195,1528,12,[12],training,medium
1201,1534,12,[12],training,medium
1211,1544,17,"[33, 17]",training,small
1212,1545,17,"[33, 17]",training,medium
1214,1547,15,"[42, 15]",training,medium
1215,1548,15,"[42, 15]",training,medium
1217,1550,15,"[42, 15]",training,medium
1218,1551,15,"[42, 15]",training,medium
1219,1552,15,"[42, 15]",training,medium
1220,1553,15,"[42, 15]",training,medium
1221,1554,15,"[42, 15]",training,medium
1222,1555,15,"[42, 15]",training,medium
1223,1556,15,"[42, 15]",training,medium
1226,1559,38,"[1, 38]",training,medium
1273,1607,12,[12],training,medium
1300,1634,15,[15],training,medium
1301,1635,15,[15],training,medium
1304,1638,15,[15],training,medium
1306,1640,15,[15],training,medium
1308,1642,10,[10],training,small
1310,1644,10,[10],training,small
1313,1649,10,[10],training,small
1314,1652,10,[10],training,medium
1319,1661,10,[10],training,small
1321,1663,10,[10],training,small
1324,1666,10,[10],training,small
1329,1671,38,"[38, 30]",training,medium
1331,1673,38,"[38, 30]",training,small
1332,1674,38,"[38, 30]",training,medium
1335,1677,15,[15],training,medium
1336,1678,15,[15],training,medium
1338,1680,2,[2],training,small
1339,1681,2,[2],training,small
1340,1682,2,[2],training,small
1341,1683,2,[2],training,small
1342,1684,2,[2],training,small
1343,1685,2,[2],training,small
1344,1686,2,[2],training,small
1345,1687,2,[2],training,small
1346,1688,2,[2],training,small
1347,1689,2,[2],training,small
1359,1701,17,[17],training,small
1360,1702,17,[17],training,small
1361,1703,17,[17],training,small
1362,1704,17,[17],training,small
1363,1705,17,[17],training,medium
1364,1706,12,[12],training,small
1378,1720,12,"[58, 12]",training,small
1386,1730,12,"[25, 12, 71]",training,medium
1388,1732,38,[38],training,small
1389,1733,38,[38],training,small
1390,1734,38,[38],training,medium
1391,1735,38,[38],training,small
1392,1736,38,[38],training,small
1394,1738,38,[38],training,medium
1395,1739,38,[38],training,medium
1427,1783,12,[12],training,medium
1437,1793,12,[12],training,medium
1441,1797,12,[12],training,medium
1443,1799,12,[12],training,medium
1448,1804,12,[12],training,medium
1454,1810,12,[12],training,medium
1466,1822,12,[12],training,medium
1475,1831,12,[12],training,medium
1480,1836,12,[12],training,medium
1481,1837,12,[12],training,medium
1509,1883,12,[12],training,small
1510,1884,12,[12],training,medium
1514,1888,12,[12],training,medium
1515,1889,12,[12],training,medium
1516,1890,12,[12],training,medium
1517,1891,12,[12],training,small
1519,1893,17,[17],validation,small
1520,1894,17,[17],validation,medium
1522,1896,17,[17],validation,medium
1523,1898,12,[12],training,medium
1524,1899,12,[12],training,medium
1525,1900,12,[12],training,medium
1526,1901,12,[12],training,medium
1535,1916,17,[17],training,medium
1543,1924,17,[17],training,small
1544,1925,17,[17],training,small
1545,1926,17,[17],training,medium
1548,1929,38,"[1, 38]",training,small
1549,1930,12,"[98, 12]",training,small
1559,1940,12,[12],validation,medium
1560,1941,12,[12],validation,medium
1563,1944,12,[12],validation,medium
1582,1963,4,"[4, 37]",training,medium
1583,1964,4,"[4, 37]",training,medium
1584,1965,4,"[4, 37]",training,medium
1585,1966,4,"[4, 37]",training,medium
1586,1967,4,"[4, 37]",training,medium
1614,1995,12,"[45, 12, 53]",training,medium
1615,1996,4,"[74, 4]",training,medium
1631,2012,38,"[32, 38]",validation,small
1653,2096,38,[38],training,small
1654,2097,17,[17],training,small
1656,2099,10,"[10, 76]",training,small
1677,2125,12,"[25, 12]",training,medium
1692,3263,17,[17],validation,small
1693,3264,17,[17],validation,small
1694,3265,17,[17],validation,small
1695,3266,17,[17],validation,small
1697,3268,15,[15],validation,medium
1699,3270,17,[17],training,small
1700,3271,17,[17],training,small
1701,3272,17,[17],training,small
1702,3273,17,[17],training,small
1703,3274,17,[17],training,small
1769,3401,12,"[66, 12]",training,medium
1793,3446,20,"[188, 20]",training,medium
1796,3449,20,"[188, 20]",training,medium
1797,3450,20,"[188, 20]",training,medium
1799,3452,15,[15],training,medium
1800,3453,15,[15],training,medium
1801,3454,15,[15],training,medium
1802,3455,15,[15],training,medium
1805,3458,15,[15],training,medium
