
-------
Evaluating test score...

-------
epoch 1 | test_loss: 3.04 | 108.31s | 00:14:58
-------


=======
Batch size: 6 | Epochs: 30 | Learning rate: 0.0009 | Started: 23:26:31

epoch 1 | batch 50/3318 | loss: 2.05 | lr: 8.9871E-04 | 0.72s | 00:00:59
epoch 1 | batch 100/3318 | loss: 2.61 | lr: 8.9743E-04 | 0.78s | 00:01:36
epoch 1 | batch 150/3318 | loss: 1.86 | lr: 8.9615E-04 | 0.71s | 00:02:12
epoch 1 | batch 200/3318 | loss: 2.28 | lr: 8.9487E-04 | 0.70s | 00:02:48
epoch 1 | batch 250/3318 | loss: 2.34 | lr: 8.9359E-04 | 0.71s | 00:03:25
epoch 1 | batch 300/3318 | loss: 2.33 | lr: 8.9231E-04 | 0.73s | 00:04:01
epoch 1 | batch 350/3318 | loss: 2.10 | lr: 8.9104E-04 | 0.74s | 00:04:37
epoch 1 | batch 400/3318 | loss: 2.09 | lr: 8.8976E-04 | 0.71s | 00:05:13
epoch 1 | batch 450/3318 | loss: 1.96 | lr: 8.8849E-04 | 0.70s | 00:05:49
epoch 1 | batch 500/3318 | loss: 1.69 | lr: 8.8722E-04 | 0.72s | 00:06:25
epoch 1 | batch 550/3318 | loss: 2.44 | lr: 8.8595E-04 | 0.69s | 00:07:01
epoch 1 | batch 600/3318 | loss: 2.15 | lr: 8.8469E-04 | 0.73s | 00:07:37
epoch 1 | batch 650/3318 | loss: 1.77 | lr: 8.8342E-04 | 0.71s | 00:08:14
epoch 1 | batch 700/3318 | loss: 2.55 | lr: 8.8216E-04 | 0.72s | 00:08:50
epoch 1 | batch 750/3318 | loss: 1.43 | lr: 8.8090E-04 | 0.75s | 00:09:26
epoch 1 | batch 800/3318 | loss: 2.04 | lr: 8.7964E-04 | 0.73s | 00:10:03
epoch 1 | batch 850/3318 | loss: 2.88 | lr: 8.7838E-04 | 0.72s | 00:10:39
epoch 1 | batch 900/3318 | loss: 2.00 | lr: 8.7713E-04 | 0.71s | 00:11:15
epoch 1 | batch 950/3318 | loss: 2.63 | lr: 8.7588E-04 | 0.73s | 00:11:51
epoch 1 | batch 1000/3318 | loss: 2.04 | lr: 8.7462E-04 | 0.73s | 00:12:28
epoch 1 | batch 1050/3318 | loss: 2.35 | lr: 8.7337E-04 | 0.71s | 00:13:04
epoch 1 | batch 1100/3318 | loss: 2.13 | lr: 8.7213E-04 | 0.71s | 00:13:41
epoch 1 | batch 1150/3318 | loss: 2.50 | lr: 8.7088E-04 | 0.70s | 00:14:17
epoch 1 | batch 1200/3318 | loss: 2.04 | lr: 8.6964E-04 | 0.71s | 00:14:53
epoch 1 | batch 1250/3318 | loss: 1.82 | lr: 8.6839E-04 | 0.74s | 00:15:30
epoch 1 | batch 1300/3318 | loss: 2.36 | lr: 8.6715E-04 | 0.73s | 00:16:06
epoch 1 | batch 1350/3318 | loss: 1.83 | lr: 8.6591E-04 | 0.69s | 00:16:42
